Intent,Conversation,Mistake
Account Issues,"[{'speaker': 'Customer', 'text': 'Hi, I was charged twice for my last bill. Can you check?'}, {'speaker': 'Agent', 'text': 'Let me check your account. Can you provide your account number?'}, {'speaker': 'Customer', 'text': ""Sure, it's 123456.""}, {'speaker': 'Agent', 'text': ""I see the duplicate charge. I'll process a refund now.""}, {'speaker': 'Customer', 'text': 'Thanks! I appreciate your help.'}]",System
Payment,"[{'speaker': 'Customer', 'text': 'Hi, I was charged twice for my last bill. Can you check?'}, {'speaker': 'Agent', 'text': 'Let me check your account. Can you provide your account number?'}, {'speaker': 'Customer', 'text': ""Sure, it's 123456.""}, {'speaker': 'Agent', 'text': ""I see the duplicate charge. I'll process a refund now.""}, {'speaker': 'Customer', 'text': 'Thanks! I appreciate your help.'}]",Agent
Payment,"[{'speaker': 'Customer', 'text': 'I need to cancel my subscription, but the website is not working.'}, {'speaker': 'Agent', 'text': 'I can help you with that. Can you confirm your account details?'}, {'speaker': 'Customer', 'text': ""Yes, it's under John Doe, email john@example.com.""}, {'speaker': 'Agent', 'text': ""Got it. Your subscription has been canceled. You'll receive a confirmation email.""}, {'speaker': 'Customer', 'text': 'Thank you!'}]",System
Subscription,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",System
Subscription,"[{'speaker': 'Customer', 'text': 'I need to cancel my subscription, but the website is not working.'}, {'speaker': 'Agent', 'text': 'I can help you with that. Can you confirm your account details?'}, {'speaker': 'Customer', 'text': ""Yes, it's under John Doe, email john@example.com.""}, {'speaker': 'Agent', 'text': ""Got it. Your subscription has been canceled. You'll receive a confirmation email.""}, {'speaker': 'Customer', 'text': 'Thank you!'}]",Customer
Subscription,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",Agent
Subscription,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",System
Technical Support,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",Customer
Subscription,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",Agent
Payment,"[{'speaker': 'Customer', 'text': 'Hi, I was charged twice for my last bill. Can you check?'}, {'speaker': 'Agent', 'text': 'Let me check your account. Can you provide your account number?'}, {'speaker': 'Customer', 'text': ""Sure, it's 123456.""}, {'speaker': 'Agent', 'text': ""I see the duplicate charge. I'll process a refund now.""}, {'speaker': 'Customer', 'text': 'Thanks! I appreciate your help.'}]",Agent
